Participant,Stimulus,condition,parallel,semantic,RT
P20,ma-nma.02.rtf,ma-nma,1,2,0
P21,ma-nma.02.rtf,ma-nma,1,2,0
P22,ma-nma.02.rtf,ma-nma,1,2,0
P23,ma-nma.02.rtf,ma-nma,1,2,226
P24,ma-nma.02.rtf,ma-nma,1,2,120
P25,ma-nma.02.rtf,ma-nma,1,2,0
P26,ma-nma.02.rtf,ma-nma,1,2,105
P27,ma-nma.02.rtf,ma-nma,1,2,0
P28,ma-nma.02.rtf,ma-nma,1,2,411
P29,ma-nma.02.rtf,ma-nma,1,2,0
P30,ma-nma.02.rtf,ma-nma,1,2,253
P31,ma-nma.02.rtf,ma-nma,1,2,0
P32,ma-nma.02.rtf,ma-nma,1,2,0
P33,ma-nma.02.rtf,ma-nma,1,2,0
P34,ma-nma.02.rtf,ma-nma,1,2,0
P35,ma-nma.02.rtf,ma-nma,1,2,0
